CDS	Rv0001	dnaA	1	1524
Intergenic	Rv0001-Rv0002	dnaA-dnaN	1525	2051
CDS	Rv0002	dnaN	2052	3260
Intergenic	Rv0002-Rv0003	dnaN-recF	3261	3279
CDS	Rv0003	recF	3280	4437
CDS	Rv0004	Rv0004	4434	4997
Intergenic	Rv0004-Rv0005	Rv0004-gyrB	4998	5239
CDS	Rv0005	gyrB	5240	7267
Intergenic	Rv0005-Rv0006	gyrB-gyrA	7268	7301
CDS	Rv0006	gyrA	7302	9818
Intergenic	Rv0006-Rv0007	gyrA-Rv0007	9819	9913
CDS	Rv0007	Rv0007	9914	10828
Intergenic	Rv0007-Rvnt01	Rv0007-ileT	10829	10886
tRNA	Rvnt01	ileT	10887	10960
Intergenic	Rvnt01-Rvnt02	ileT-alaT	10961	11111
tRNA	Rvnt02	alaT	11112	11184
Intergenic	Rvnt02-Rv0008c	alaT-Rv0008c	11185	11873
CDS	Rv0008c	Rv0008c	11874	12311
Intergenic	Rv0008c-Rv0009	Rv0008c-ppiA	12312	12467
CDS	Rv0009	ppiA	12468	13016
Intergenic	Rv0009-Rv0010c	ppiA-Rv0010c	13017	13132
CDS	Rv0010c	Rv0010c	13133	13558
Intergenic	Rv0010c-Rv0011c	Rv0010c-Rv0011c	13559	13713
CDS	Rv0011c	Rv0011c	13714	13995
Intergenic	Rv0011c-Rv0012	Rv0011c-Rv0012	13996	14088
CDS	Rv0012	Rv0012	14089	14877
Intergenic	Rv0012-Rv0013	Rv0012-trpG	14878	14913
CDS	Rv0013	trpG	14914	15612
CDS	Rv0014c	pknB	15590	17470
CDS	Rv0015c	pknA	17467	18762
CDS	Rv0016c	pbpA	18759	20234
CDS	Rv0017c	rodA	20231	21640
CDS	Rv0018c	pstP	21637	23181
Intergenic	Rv0018c-Rv0019c	pstP-fhaB	23182	23269
CDS	Rv0019c	fhaB	23270	23737
Intergenic	Rv0019c-Rv0020c	fhaB-fhaA	23738	23860
CDS	Rv0020c	fhaA	23861	25444
Intergenic	Rv0020c-Rvnt03	fhaA-leuT	25445	25643
tRNA	Rvnt03	leuT	25644	25726
Intergenic	Rvnt03-Rv0021c	leuT-Rv0021c	25727	25912
CDS	Rv0021c	Rv0021c	25913	26881
Intergenic	Rv0021c-Rv0022c	Rv0021c-whiB5	26882	27022
CDS	Rv0022c	whiB5	27023	27442
Intergenic	Rv0022c-Rv0023	whiB5-Rv0023	27443	27594
CDS	Rv0023	Rv0023	27595	28365
CDS	Rv0024	Rv0024	28362	29207
Intergenic	Rv0024-Rv0025	Rv0024-Rv0025	29208	29244
CDS	Rv0025	Rv0025	29245	29607
Intergenic	Rv0025-Rv0026	Rv0025-Rv0026	29608	29721
CDS	Rv0026	Rv0026	29722	31068
Intergenic	Rv0026-Rv0027	Rv0026-Rv0027	31069	31188
CDS	Rv0027	Rv0027	31189	31506
Intergenic	Rv0027-Rv0028	Rv0027-Rv0028	31507	31513
CDS	Rv0028	Rv0028	31514	31819
Intergenic	Rv0028-Rv0029	Rv0028-Rv0029	31820	32056
CDS	Rv0029	Rv0029	32057	33154
Intergenic	Rv0029-Rv0030	Rv0029-Rv0030	33155	33223
CDS	Rv0030	Rv0030	33224	33553
Intergenic	Rv0030-Rv0032	Rv0030-bioF2	33554	34294
CDS	Rv0032	bioF2	34295	36610
CDS	Rv0033	acpA	36607	36870
